city,temperature,condition,url
"Weather in Helsinki, Finland",16 °C,Passing clouds.,https://www.timeanddate.com/weather/finland/helsinki
"Weather in Taipei, Taiwan",28 °C,Passing clouds.,https://www.timeanddate.com/weather/taiwan/taipei
"Weather in Hong Kong, Hong Kong",28 °C,Passing clouds.,https://www.timeanddate.com/weather/hong-kong/hong-kong
"Weather in Tallinn, Estonia",15 °C,Passing clouds.,https://www.timeanddate.com/weather/estonia/tallinn
"Weather in Honolulu, Hawaii, USA",26 °C,Passing clouds.,https://www.timeanddate.com/weather/usa/honolulu
"Weather in Tashkent, Uzbekistan",25 °C,Clear.,https://www.timeanddate.com/weather/uzbekistan/tashkent
"Weather in Houston, Texas, USA",31 °C,Scattered clouds.,https://www.timeanddate.com/weather/usa/houston
"Weather in Tegucigalpa, Honduras",28 °C,Partly sunny.,https://www.timeanddate.com/weather/honduras/tegucigalpa
"Weather in Indianapolis, Indiana, USA",24 °C,Scattered clouds.,https://www.timeanddate.com/weather/usa/indianapolis
"Weather in Tehran, Iran",27 °C,Clear.,https://www.timeanddate.com/weather/iran/tehran
"Weather in Islamabad, Pakistan",31 °C,Overcast.,https://www.timeanddate.com/weather/pakistan/islamabad
"Weather in Istanbul, Turkey",24 °C,Passing clouds.,https://www.timeanddate.com/weather/turkey/istanbul
"Weather in Toronto, Ontario, Canada",22 °C,Sprinkles. Mostly cloudy.,https://www.timeanddate.com/weather/canada/toronto
"Weather in Jakarta, Jakarta Special Capital Region, Indonesia",26 °C,Passing clouds.,https://www.timeanddate.com/weather/indonesia/jakarta
"Weather in Vancouver, British Columbia, Canada",17 °C,Partly sunny.,https://www.timeanddate.com/weather/canada/vancouver
"Weather in Jerusalem, Israel",24 °C,Mild.,https://www.timeanddate.com/weather/israel/jerusalem
"Weather in Vienna, Vienna, Austria",20 °C,Passing clouds.,https://www.timeanddate.com/weather/austria/vienna
"Weather in Johannesburg, South Africa",20 °C,Scattered clouds.,https://www.timeanddate.com/weather/south-africa/johannesburg
"Weather in Warsaw, Poland",21 °C,Passing clouds.,https://www.timeanddate.com/weather/poland/warsaw
"Weather in Karachi, Sindh, Pakistan",27 °C,Passing clouds.,https://www.timeanddate.com/weather/pakistan/karachi
"Weather in Washington DC, USA",27 °C,Passing clouds.,https://www.timeanddate.com/weather/usa/washington-dc
"Weather in Kathmandu, Nepal",23 °C,Partly cloudy.,https://www.timeanddate.com/weather/nepal/kathmandu
"Weather in Winnipeg, Manitoba, Canada",20 °C,Mild.,https://www.timeanddate.com/weather/canada/winnipeg
"Weather in Kingston, Jamaica",32 °C,Hot.,https://www.timeanddate.com/weather/jamaica/kingston
"Weather in Yangon, Myanmar",25 °C,Drizzle. Mostly cloudy.,https://www.timeanddate.com/weather/myanmar/yangon
"Weather in Kinshasa, Congo Dem. Rep.",29 °C,Passing clouds.,https://www.timeanddate.com/weather/congo-demrep/kinshasa
"Weather in Zagreb, Croatia",24 °C,Passing clouds.,https://www.timeanddate.com/weather/croatia/zagreb
"Weather in Kiritimati, Christmas Island, Kiribati",25 °C,Passing clouds.,https://www.timeanddate.com/weather/kiribati/kiritimati
"Weather in Zürich, Zurich, Switzerland",19 °C,Mild.,https://www.timeanddate.com/weather/switzerland/zurich
"Weather in Kolkata, West Bengal, India",29 °C,Passing clouds.,https://www.timeanddate.com/weather/india/kolkata
